,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,222.02,1,1514126520,-100.0
1,1,214.02,-1,1514140920,96.3967210161
2,2,219.54,1,1514151720,-96.3967210161
3,2,222.23,-1,1514169720,97.5778596675
4,3,229.1,1,1514176920,-97.5778596675
5,3,227.76,-1,1514216520,97.0071292793
6,4,225.86,1,1514248920,-97.0071292793
7,4,229.95,-1,1514281320,98.7637889744
8,5,231.53,1,1514295720,-98.7637889744
9,5,232.64,-1,1514328120,99.2372818512
10,6,233.74,1,1514353320,-99.2372818512
11,6,226.74,-1,1514371320,96.2653430604
12,7,224.97,1,1514414520,-96.2653430604
13,7,221.25,-1,1514421720,94.6735438153
