,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
1714,24.9765,GREEN,24.977,24.8023938739,24.8023938739,24.977,1514205780
1774,24.982,GREEN,24.984,24.8894469369,24.8894469369,24.98,1514209380
1834,24.4545,RED,24.9357234685,24.452,24.9357234685,24.452,1514212980
1894,23.993,RED,24.6951117342,23.993,24.6951117342,23.993,1514216580
1954,24.50125,GREEN,24.543,24.3440558671,24.3440558671,24.49,1514220180
2014,24.105,RED,24.4226529336,24.105,24.4226529336,24.105,1514223780
2074,24.306,GREEN,24.306,24.2638264668,24.2638264668,24.306,1514227380
2134,24.897,GREEN,24.897,24.2849132334,24.2849132334,24.897,1514230980
2194,24.892,GREEN,24.892,24.5909566167,24.5909566167,24.892,1514234580
2254,24.562,RED,24.7414783083,24.562,24.7414783083,24.562,1514238180
2314,24.263,RED,24.6517391542,24.263,24.6517391542,24.263,1514241780
2374,24.5145,GREEN,24.516,24.4573695771,24.4573695771,24.516,1514245380
2434,25.111,GREEN,25.111,24.4859347885,24.4859347885,25.111,1514248980
2494,25.23625,GREEN,25.249,24.7984673943,24.7984673943,25.249,1514252580
2554,25.451,GREEN,25.451,25.0173586971,25.0173586971,25.451,1514256180
2614,25.603,GREEN,25.71,25.2341793486,25.2341793486,25.71,1514259780
2674,25.534,GREEN,25.534,25.4185896743,25.4185896743,25.534,1514263380
2733,25.0405,RED,25.4762948371,25.04,25.4762948371,25.04,1514266980
2793,25.255,RED,25.2583974186,25.255,25.2583974186,25.255,1514270580
2853,25.162,RED,25.2566987093,25.162,25.2566987093,25.162,1514274180
2880,24.995,RED,25.2093493546,24.995,25.2093493546,24.995,1514281380
2940,24.984,RED,25.1021746773,24.984,25.1021746773,24.984,1514284980
3000,24.87,RED,25.0430873387,24.87,25.0430873387,24.87,1514288580
3060,25.1,GREEN,25.1,24.9565436693,24.9565436693,25.1,1514292180
3120,24.826,RED,25.0282718347,24.826,25.0282718347,24.826,1514295780
3180,24.841,RED,24.9271359173,24.8,24.9271359173,24.854,1514299380
3240,24.7235,RED,24.8840679587,24.723,24.8840679587,24.723,1514302980
3300,24.915,GREEN,24.93,24.8037839793,24.8037839793,24.93,1514306580
3360,24.9,GREEN,24.9,24.8593919897,24.8593919897,24.9,1514310180
3420,24.961,GREEN,24.961,24.8796959948,24.8796959948,24.961,1514313780
3480,25.198,GREEN,25.198,24.9203479974,24.9203479974,25.198,1514317380
3540,25.128,GREEN,25.136,25.0591739987,25.0591739987,25.12,1514320980
3600,25.178,GREEN,25.178,25.0935869994,25.0935869994,25.178,1514324580
3660,24.9055,RED,25.1357934997,24.904,25.1357934997,24.904,1514328180
3720,24.841,RED,25.0206467498,24.841,25.0206467498,24.841,1514331780
3779,24.9865,GREEN,25.0,24.9308233749,24.9308233749,24.973,1514335380
3839,25.2985,GREEN,25.299,24.9586616875,24.9586616875,25.299,1514338980
3899,25.177,GREEN,25.177,25.1285808437,25.1285808437,25.177,1514342580
3959,25.28,GREEN,25.28,25.1527904219,25.1527904219,25.28,1514346180
4019,25.357,GREEN,25.357,25.2163952109,25.2163952109,25.357,1514349780
4079,25.01,RED,25.2866976055,25.01,25.2866976055,25.01,1514353380
4140,25.136,RED,25.1483488027,25.136,25.1483488027,25.136,1514356980
4200,25.1,RED,25.1421744014,25.1,25.1421744014,25.1,1514360580
4260,25.278,GREEN,25.278,25.1210872007,25.1210872007,25.278,1514364180
4320,24.92,RED,25.1995436003,24.91,25.1995436003,24.91,1514367780
4380,24.6,RED,25.0597718002,24.6,25.0597718002,24.6,1514371380
4440,24.904,GREEN,24.904,24.8298859001,24.8298859001,24.904,1514374980
4500,24.839,RED,24.86694295,24.839,24.86694295,24.839,1514378580
4560,24.779,RED,24.852971475,24.779,24.852971475,24.779,1514382180
4620,24.782,RED,24.97,24.718,24.8159857375,24.718,1514385780
4680,24.586,RED,24.7989928688,24.586,24.7989928688,24.586,1514389380
4740,24.202,RED,24.6924964344,24.087,24.6924964344,24.087,1514392980
4800,23.972,RED,24.4472482172,23.972,24.4472482172,23.972,1514396580
4860,24.15075,RED,24.2096241086,24.101,24.2096241086,24.2,1514400180
4920,24.196,GREEN,24.38,24.012,24.1801870543,24.012,1514403780
4980,23.77,RED,24.1880935271,23.77,24.1880935271,23.77,1514407380
5040,24.153,GREEN,24.153,23.9790467636,23.9790467636,24.153,1514410980
5100,24.5195,GREEN,24.639,24.0660233818,24.0660233818,24.639,1514414580
5160,24.452,GREEN,24.452,24.2927616909,24.2927616909,24.452,1514418180
5220,24.038,RED,24.3723808454,24.038,24.3723808454,24.038,1514421780
5280,24.39,GREEN,24.39,24.2051904227,24.2051904227,24.39,1514425380
5340,23.59,RED,24.2975952114,23.59,24.2975952114,23.59,1514428980
5400,22.755,RED,23.9437976057,22.755,23.9437976057,22.755,1514432580
5460,23.4,GREEN,23.4,23.3493988028,23.3493988028,23.4,1514436180
5520,22.91,RED,23.3746994014,22.91,23.3746994014,22.91,1514439780
5580,22.292,RED,23.1423497007,22.292,23.1423497007,22.292,1514443380
