,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,56.675,1,1514126520,-100.0
1,1,52.334,-1,1514115720,92.3405381562
2,2,55.105,1,1514151720,-92.3405381562
3,2,56.502,-1,1514169720,94.6815186807
4,3,57.521,1,1514184120,-94.6815186807
5,3,57.915,-1,1514216520,95.3300560559
6,4,59.79,1,1514234520,-95.3300560559
7,4,58.503,-1,1514241720,93.2780443124
8,5,61.517,1,1514252520,-93.2780443124
9,5,67.429,-1,1514281320,102.242392346
10,6,69.046,1,1514288520,-102.242392346
11,6,68.343,-1,1514331720,101.201399358
12,7,68.996,1,1514342520,-101.201399358
13,7,67.507,-1,1514364120,99.0173758838
14,8,68.683,1,1514378520,-99.0173758838
15,8,67.001,-1,1514389320,96.5925076306
16,9,67.266,1,1514414520,-96.5925076306
17,9,66.018,-1,1514428920,94.8004068736
