,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
2733,230.91,GREEN,231.37,228.848216757,228.848216757,230.45,1514266920
2763,231.21,GREEN,231.21,229.879108378,229.879108378,231.21,1514268720
2793,232.06,GREEN,232.08,230.544554189,230.544554189,232.08,1514270520
2823,232.0,GREEN,232.0,231.302277095,231.302277095,232.0,1514272320
2853,230.51,RED,232.08,229.98,231.651138547,230.0,1514274120
2879,229.96,RED,231.080569274,229.93,231.080569274,229.95,1514281320
2909,231.27,GREEN,231.73,230.520284637,230.520284637,231.02,1514283120
2939,230.975,GREEN,231.95,230.0,230.895142318,230.0,1514284920
2969,230.705,RED,230.96,230.45,230.935071159,230.45,1514286720
2999,228.9575,RED,230.82003558,228.05,230.82003558,229.86,1514288520
3029,227.5,RED,229.88876779,227.5,229.88876779,227.5,1514290320
3059,231.32,GREEN,231.34,228.694383895,228.694383895,231.34,1514292120
3089,232.0,GREEN,232.0,230.007191947,230.007191947,232.0,1514293920
3119,231.515,GREEN,231.53,231.003595974,231.003595974,231.53,1514295720
3149,231.52,GREEN,231.52,231.259297987,231.259297987,231.52,1514297520
3179,233.42,GREEN,233.42,231.389648993,231.389648993,233.42,1514299320
3209,230.975,RED,232.404824497,230.49,232.404824497,231.09,1514301120
3239,230.475,RED,231.689912248,230.32,231.689912248,230.63,1514302920
3269,231.5,GREEN,231.5,231.082456124,231.082456124,231.5,1514304720
3299,231.535,GREEN,231.67,231.291228062,231.291228062,231.4,1514306520
3329,237.8725,GREEN,238.29,231.413114031,231.413114031,237.6,1514308320
3359,234.245,RED,235.0,233.49,234.642807016,235.0,1514310120
3389,236.28,GREEN,236.28,234.443903508,234.443903508,236.28,1514311920
3419,233.85,RED,235.361951754,233.6,235.361951754,234.1,1514313720
3449,236.625,GREEN,237.25,234.605975877,234.605975877,236.0,1514315520
3479,236.075,GREEN,236.08,235.615487938,235.615487938,236.07,1514317320
3509,237.485,GREEN,237.85,235.845243969,235.845243969,237.85,1514319120
3539,236.3075,RED,237.23,236.0,236.665121985,236.0,1514320920
3569,234.89,RED,236.486310992,234.89,236.486310992,234.89,1514322720
3599,234.44,RED,235.688155496,233.89,235.688155496,233.89,1514324520
3629,234.135,RED,235.064077748,233.33,235.064077748,233.33,1514326320
3659,232.835,RED,234.599538874,232.64,234.599538874,232.64,1514328120
3689,231.4225,RED,233.717269437,231.06,233.717269437,231.06,1514329920
3719,231.1875,RED,232.569884719,231.14,232.569884719,231.22,1514331720
3749,231.08,RED,231.878692359,231.08,231.878692359,231.08,1514333520
3779,231.8525,GREEN,232.21,231.47934618,231.47934618,231.56,1514335320
3809,232.64,GREEN,232.64,231.66592309,231.66592309,232.64,1514337120
3839,233.0,GREEN,233.0,232.152961545,232.152961545,233.0,1514338920
3869,232.315,RED,232.64,231.99,232.576480772,232.64,1514340720
3899,232.2,RED,232.445740386,232.2,232.445740386,232.2,1514342520
3929,231.73,RED,232.322870193,231.61,232.322870193,231.85,1514344320
3959,231.57,RED,232.04,230.87,232.026435097,232.04,1514346120
3989,233.22,GREEN,233.22,231.798217548,231.798217548,233.22,1514347920
4019,232.64,GREEN,232.64,232.509108774,232.509108774,232.64,1514349720
4049,233.01,GREEN,233.02,232.574554387,232.574554387,233.02,1514351520
4079,233.74,GREEN,233.74,232.792277194,232.792277194,233.74,1514353320
4109,233.54,GREEN,234.05,233.03,233.266138597,233.03,1514355120
4139,233.495,GREEN,233.99,233.0,233.403069298,233.0,1514356920
4169,232.49,RED,233.449034649,232.49,233.449034649,232.49,1514358720
4199,230.56,RED,232.969517325,230.09,232.969517325,230.15,1514360520
4229,232.385,GREEN,232.52,231.764758662,231.764758662,232.25,1514362320
4259,232.535,GREEN,233.07,232.0,232.074879331,232.0,1514364120
4289,230.775,RED,232.304939666,230.76,232.304939666,230.76,1514365920
4319,229.2,RED,231.539969833,228.99,231.539969833,228.99,1514367720
4349,230.3675,RED,230.45,230.14,230.369984916,230.43,1514369520
4379,227.57,RED,230.368742458,226.74,230.368742458,226.74,1514371320
4409,229.1,GREEN,229.1,228.969371229,228.969371229,229.1,1514373120
4439,228.795,RED,229.07,228.31,229.034685615,229.0,1514374920
