,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,2275.0,1,1514122920,-100.0
1,1,2270.0,-1,1514130120,99.7802197802
2,2,2339.9,1,1514133720,-99.7802197802
3,2,2252.3,-1,1514137320,96.0446980687
4,3,2266.6,1,1514146320,-96.0446980687
5,3,2350.0,-1,1514166120,99.5786819295
6,4,2371.7,1,1514178720,-99.5786819295
7,4,2359.0,-1,1514185920,99.0454571285
8,5,2424.9,1,1514193120,-99.0454571285
9,5,2340.0,-1,1514211120,95.5777020417
10,6,2352.1,1,1514220120,-95.5777020417
11,6,2344.9,-1,1514234520,95.2851296788
12,7,2340.0,1,1514245320,-95.2851296788
13,7,2303.0,-1,1514252520,93.7784844659
14,8,2378.0,1,1514261520,-93.7784844659
15,8,2378.8,-1,1514286720,93.8100331571
16,9,2377.3,1,1514293920,-93.8100331571
17,9,2365.0,-1,1514299320,93.3246659725
18,10,2386.5,1,1514308320,-93.3246659725
19,10,2362.3,-1,1514313720,92.3783190559
20,11,2401.9,1,1514331720,-92.3783190559
21,11,2365.3,-1,1514344320,90.9706640838
22,12,2403.8,1,1514349720,-90.9706640838
23,12,2377.7,-1,1514362320,89.9829220368
24,13,2350.0,1,1514374920,-89.9829220368
25,13,2322.8,-1,1514382120,88.9414175775
26,14,2250.0,1,1514403720,-88.9414175775
27,14,2198.9,-1,1514407320,86.9214591605
28,15,2260.1,1,1514410920,-86.9214591605
29,15,2262.0,-1,1514423520,86.9945314902
30,16,2184.6,1,1514436120,-86.9945314902
31,16,2118.8,-1,1514439720,84.3742622546
