,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,537.8,1,1514122920,-100.0
1,1,534.0,-1,1514139120,99.2934176274
2,2,547.68,1,1514148120,-99.2934176274
3,2,600.0,-1,1514185920,108.77894131
4,3,614.51,1,1514193120,-108.77894131
5,3,607.0,-1,1514198520,107.449540894
6,4,620.0,1,1514203920,-107.449540894
7,4,598.55,-1,1514211120,103.732133391
8,5,610.13,1,1514218320,-103.732133391
9,5,600.0,-1,1514223720,102.009866806
10,6,613.06,1,1514227320,-102.009866806
11,6,604.64,-1,1514238120,100.608824366
12,7,607.9,1,1514245320,-100.608824366
13,7,612.63,-1,1514265120,101.39165006
14,8,619.36,1,1514268720,-101.39165006
15,8,621.0,-1,1514286720,101.660124462
16,9,623.86,1,1514293920,-101.660124462
17,9,614.22,-1,1514301120,100.089253434
18,10,622.99,1,1514306520,-100.089253434
19,10,620.8,-1,1514322720,99.7374091586
20,11,621.81,1,1514333520,-99.7374091586
21,11,623.02,-1,1514344320,99.9314913784
22,12,628.96,1,1514347920,-99.9314913784
23,12,622.99,-1,1514365920,98.9829556948
24,13,621.8,1,1514374920,-98.9829556948
25,13,614.51,-1,1514387520,97.8224768479
26,14,617.55,1,1514398320,-97.8224768479
27,14,610.11,-1,1514407320,96.643950044
28,15,617.7,1,1514410920,-96.643950044
29,15,618.9,-1,1514423520,96.8316993399
30,16,622.14,1,1514427120,-96.8316993399
31,16,591.4,-1,1514430720,92.0472353322
32,17,612.9,1,1514436120,-92.0472353322
33,17,595.86,-1,1514443320,89.4881149373
