,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
4372,66.8065,RED,68.0107914351,66.113,68.0107914351,66.113,1514371320
4431,67.69,GREEN,67.69,67.4086457176,67.4086457176,67.69,1514374920
4492,68.683,GREEN,68.683,67.5493228588,67.5493228588,68.683,1514378520
4552,68.392,GREEN,68.392,68.1161614294,68.1161614294,68.392,1514382120
4612,67.6,RED,68.2540807147,67.5,68.2540807147,67.5,1514385720
4672,67.001,RED,67.9270403573,67.001,67.9270403573,67.001,1514389320
4732,66.7,RED,67.4640201787,66.7,67.4640201787,66.7,1514392920
4792,65.97,RED,67.0820100893,65.94,67.0820100893,66.0,1514396520
4852,67.0365,GREEN,67.37,66.5260050447,66.5260050447,67.37,1514400120
4911,66.5255,RED,66.7812525223,66.39,66.7812525223,66.39,1514403720
4972,65.7,RED,66.6533762612,65.7,66.6533762612,65.7,1514407320
5032,66.3,GREEN,66.3,66.1766881306,66.1766881306,66.3,1514410920
5092,66.3855,GREEN,67.266,65.505,66.2383440653,67.266,1514414520
5152,66.8415,GREEN,67.23,66.3119220326,66.3119220326,67.23,1514418120
5212,67.2,GREEN,67.2,66.5767110163,66.5767110163,67.2,1514421720
5272,66.738,RED,66.8883555082,66.738,66.8883555082,66.738,1514425320
5332,66.00925,RED,66.8131777541,66.0,66.8131777541,66.018,1514428920
5390,64.433,RED,66.411213877,64.433,66.411213877,64.433,1514432520
5446,64.107,RED,65.4221069385,64.107,65.4221069385,64.107,1514436120
5512,62.506,RED,64.7645534693,62.506,64.7645534693,62.506,1514439720
5571,61.837,RED,63.6352767346,61.539,63.6352767346,62.135,1514443320
