,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
1953,461.841,RED,464.441564648,461.821,464.441564648,461.861,1514220120
2013,451.574,RED,463.141282324,451.574,463.141282324,451.574,1514223720
2072,451.04,RED,457.357641162,451.04,457.357641162,451.04,1514227320
2131,452.251,RED,454.198820581,452.251,454.198820581,452.251,1514230920
2193,454.47,GREEN,454.47,453.224910291,453.224910291,454.47,1514234520
2252,441.681,RED,453.847455145,441.681,453.847455145,441.681,1514238120
2312,442.9505,RED,447.764227573,442.441,447.764227573,443.46,1514241720
2372,443.0,RED,445.357363786,443.0,445.357363786,443.0,1514245320
2432,441.682,RED,444.178681893,441.682,444.178681893,441.682,1514248920
2492,440.21,RED,442.930340947,440.21,442.930340947,440.21,1514252520
2551,441.74,GREEN,441.74,441.570170473,441.570170473,441.74,1514256120
2611,446.546,GREEN,446.546,441.655085237,441.655085237,446.546,1514259720
2670,462.309,GREEN,462.309,444.100542618,444.100542618,462.309,1514263320
2730,472.191,GREEN,472.382,453.204771309,453.204771309,472.0,1514266920
2788,470.0905,GREEN,470.13,462.697885655,462.697885655,470.13,1514270520
2848,449.6145,RED,466.394192827,449.0,466.394192827,449.0,1514274120
2873,446.2,RED,458.004346414,446.2,458.004346414,446.2,1514281320
2933,451.22,RED,452.102173207,451.22,452.102173207,451.22,1514284920
2993,447.15,RED,451.661086603,447.15,451.661086603,447.15,1514288520
3052,449.0,RED,449.405543302,449.0,449.405543302,449.0,1514292120
3112,448.58,RED,449.202771651,448.58,449.202771651,448.58,1514295720
3172,454.00825,GREEN,454.03,448.891385825,448.891385825,454.001,1514299320
3231,448.775,RED,451.449817913,448.55,451.449817913,448.55,1514302920
3291,447.1595,RED,450.112408956,446.15,450.112408956,446.15,1514306520
3351,446.25,RED,448.635954478,446.0,448.635954478,446.0,1514310120
3409,445.5,RED,447.442977239,445.5,447.442977239,445.5,1514313720
3469,448.222,GREEN,449.02,446.47148862,446.47148862,447.514,1514317320
3529,449.32,GREEN,449.55,447.34674431,447.34674431,449.55,1514320920
3589,449.999,GREEN,449.999,448.333372155,448.333372155,449.999,1514324520
3649,454.51425,GREEN,457.07,449.166186077,449.166186077,454.17,1514328120
3709,460.0,GREEN,460.0,451.840218039,451.840218039,460.0,1514331720
3769,451.8505,RED,455.920109019,451.85,455.920109019,451.851,1514335320
3829,452.38,RED,453.88530451,452.38,453.88530451,452.38,1514338920
3889,457.48,GREEN,457.48,453.132652255,453.132652255,457.48,1514342520
3949,456.74,GREEN,456.74,455.306326127,455.306326127,456.74,1514346120
4009,453.92,RED,456.023163064,453.92,456.023163064,453.92,1514349720
