,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
5280,2267.0,GREEN,2267.0,2264.64271817,2264.64271817,2267.0,1514425320
5310,2260.2,RED,2265.82135908,2260.0,2265.82135908,2260.0,1514427120
5340,2202.3,RED,2263.01067954,2202.3,2263.01067954,2202.3,1514428920
5370,2117.7,RED,2232.65533977,2117.7,2232.65533977,2117.7,1514430720
5400,2093.3,RED,2175.17766989,2093.3,2175.17766989,2093.3,1514432520
5430,2161.6,GREEN,2161.6,2134.23883494,2134.23883494,2161.6,1514434320
5460,2184.6,GREEN,2184.6,2147.91941747,2147.91941747,2184.6,1514436120
5490,2150.0,RED,2166.25970874,2150.0,2166.25970874,2150.0,1514437920
5520,2126.55,RED,2158.12985437,2118.8,2158.12985437,2118.8,1514439720
5550,2106.0,RED,2142.33992718,2106.0,2142.33992718,2106.0,1514441520
5580,2103.375,RED,2124.16996359,2089.1,2124.16996359,2117.0,1514443320
