,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,COUNT,DATE
0,1514595660,0.00002460,0.00002460,0.00002450,0.00002460,0.00002455,111917.49627707,13,2017-12-30 01:01:00
1,1514595720,0.00002450,0.00002464,0.00002450,0.00002450,0.00002459,193792.86490113,18,2017-12-30 01:02:00
2,1514595780,0.00002464,0.00002475,0.00002420,0.00002475,0.00002469,430684.68453733,17,2017-12-30 01:03:00
3,1514595840,0.00002470,0.00002475,0.00002470,0.00002475,0.00002471,3360.18949049,5,2017-12-30 01:04:00
4,1514595900,0.00002475,0.00002500,0.00002470,0.00002470,0.00002487,516628.03487264,33,2017-12-30 01:05:00
5,1514595960,0.00002470,0.00002470,0.00002456,0.00002470,0.00002465,38170.36646070,8,2017-12-30 01:06:00
6,1514596020,0.00002470,0.00002470,0.00002450,0.00002470,0.00002464,38726.61140449,11,2017-12-30 01:07:00
7,1514596080,0.00002470,0.00002470,0.00002410,0.00002450,0.00002424,224101.70884581,28,2017-12-30 01:08:00
8,1514596140,0.00002469,0.00002469,0.00002400,0.00002469,0.00002414,25337.58817070,5,2017-12-30 01:09:00
9,1514596200,0.00002467,0.00002469,0.00002467,0.00002469,0.00002467,8682.03965168,7,2017-12-30 01:10:00
10,1514596260,0.00002469,0.00002470,0.00002410,0.00002467,0.00002469,307532.07966951,16,2017-12-30 01:11:00
11,1514596320,0.00002467,0.00002470,0.00002467,0.00002470,0.00002469,39812.28690797,13,2017-12-30 01:12:00
12,1514596380,0.00002469,0.00002470,0.00002467,0.00002467,0.00002469,55435.71197880,13,2017-12-30 01:13:00
13,1514596440,0.00002470,0.00002470,0.00002467,0.00002470,0.00002469,292923.40475912,11,2017-12-30 01:14:00
14,1514596500,0.00002470,0.00002470,0.00002415,0.00002469,0.00002457,23480.30610842,17,2017-12-30 01:15:00
15,1514596560,0.00002469,0.00002470,0.00002460,0.00002460,0.00002467,12867.44141488,10,2017-12-30 01:16:00
16,1514596620,0.00002470,0.00002470,0.00002460,0.00002460,0.00002464,10659.20728744,6,2017-12-30 01:17:00
17,1514596680,0.00002470,0.00002470,0.00002460,0.00002460,0.00002468,23183.49429880,7,2017-12-30 01:18:00
18,1514596740,0.00002470,0.00002470,0.00002460,0.00002470,0.00002469,18030.84626945,8,2017-12-30 01:19:00
19,1514596800,0.00002470,0.00002470,0.00002460,0.00002470,0.00002464,41482.34829000,11,2017-12-30 01:20:00
20,1514596860,0.00002470,0.00002470,0.00002461,0.00002470,0.00002469,15368.99991000,8,2017-12-30 01:21:00
21,1514596920,0.00002470,0.00002470,0.00002460,0.00002470,0.00002464,12468.80991008,8,2017-12-30 01:22:00
22,1514596980,0.00002462,0.00002470,0.00002462,0.00002470,0.00002469,10165.65991901,6,2017-12-30 01:23:00
23,1514597040,0.00002470,0.00002470,0.00002462,0.00002470,0.00002469,9753.38866000,5,2017-12-30 01:24:00
24,1514597100,0.00002470,0.00002490,0.00002462,0.00002490,0.00002483,76561.60887961,11,2017-12-30 01:25:00
25,1514597160,0.00002490,0.00002490,0.00002490,0.00002490,0.00002490,23404.79638554,4,2017-12-30 01:26:00
26,1514597220,0.00002490,0.00002490,0.00002470,0.00002470,0.00002481,10315.00000000,6,2017-12-30 01:27:00
27,1514597280,0.00002489,0.00002490,0.00002489,0.00002490,0.00002489,5748.00000000,3,2017-12-30 01:28:00
28,1514597340,0.00002490,0.00002490,0.00002489,0.00002490,0.00002489,1865.00000000,3,2017-12-30 01:29:00
29,1514597400,0.00002470,0.00002490,0.00002470,0.00002490,0.00002488,10819.97991967,7,2017-12-30 01:30:00
30,1514597460,0.00002480,0.00002490,0.00002470,0.00002490,0.00002483,76729.25835244,10,2017-12-30 01:31:00
31,1514597520,0.00002490,0.00002490,0.00002471,0.00002471,0.00002484,48739.66666000,8,2017-12-30 01:32:00
32,1514597580,0.00002490,0.00002500,0.00002480,0.00002500,0.00002490,135378.96777542,22,2017-12-30 01:33:00
33,1514597640,0.00002494,0.00002500,0.00002494,0.00002500,0.00002499,27510.67320000,8,2017-12-30 01:34:00
34,1514597700,0.00002500,0.00002500,0.00002490,0.00002500,0.00002495,10729.85922213,7,2017-12-30 01:35:00
35,1514597760,0.00002500,0.00002500,0.00002480,0.00002480,0.00002497,30470.13000000,10,2017-12-30 01:36:00
36,1514597820,0.00002500,0.00002500,0.00002480,0.00002500,0.00002497,55789.29286000,11,2017-12-30 01:37:00
37,1514597880,0.00002500,0.00002500,0.00002480,0.00002500,0.00002495,54253.33492823,11,2017-12-30 01:38:00
38,1514597940,0.00002500,0.00002500,0.00002480,0.00002500,0.00002499,54565.00000000,15,2017-12-30 01:39:00
39,1514598000,0.00002500,0.00002500,0.00002480,0.00002500,0.00002497,154704.09086173,28,2017-12-30 01:40:00
40,1514598060,0.00002500,0.00002500,0.00002480,0.00002500,0.00002493,34598.89000000,10,2017-12-30 01:41:00
41,1514598120,0.00002482,0.00002500,0.00002481,0.00002500,0.00002494,12700.00000000,4,2017-12-30 01:42:00
42,1514598180,0.00002483,0.00002500,0.00002483,0.00002500,0.00002499,21420.00000000,14,2017-12-30 01:43:00
43,1514598240,0.00002500,0.00002500,0.00002483,0.00002500,0.00002499,41788.19011032,15,2017-12-30 01:44:00
44,1514598300,0.00002500,0.00002500,0.00002495,0.00002500,0.00002495,3105.20000000,5,2017-12-30 01:45:00
45,1514598360,0.00002484,0.00002500,0.00002482,0.00002500,0.00002493,17214.00000000,5,2017-12-30 01:46:00
46,1514598420,0.00002500,0.00002500,0.00002500,0.00002500,0.00002500,76382.92640000,18,2017-12-30 01:47:00
47,1514598480,0.00002500,0.00002520,0.00002500,0.00002500,0.00002500,126272.69406697,14,2017-12-30 01:48:00
48,1514598540,0.00002520,0.00002550,0.00002520,0.00002550,0.00002545,137938.19013843,12,2017-12-30 01:49:00
49,1514598600,0.00002550,0.00002586,0.00002550,0.00002579,0.00002577,16153.62153138,7,2017-12-30 01:50:00
50,1514598660,0.00002579,0.00002586,0.00002540,0.00002586,0.00002584,68243.41420080,11,2017-12-30 01:51:00
51,1514598720,0.00002586,0.00002587,0.00002550,0.00002587,0.00002585,15838.04458632,6,2017-12-30 01:52:00
52,1514598780,0.00002550,0.00002587,0.00002543,0.00002587,0.00002552,46327.63447038,10,2017-12-30 01:53:00
