,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,COUNT,DATE
0,1514102940,565.02,567.66,564.46,565.57,566.7,23.28178188,19,2017-12-24 08:09:00
1,1514103000,565.41,569.7,565.41,569.7,569.54,70.47192607,20,2017-12-24 08:10:00
2,1514103060,570.0,570.08,568.01,569.58,569.57,39.3428804,13,2017-12-24 08:11:00
3,1514103120,569.58,573.2,569.58,573.2,570.48,43.95855817,16,2017-12-24 08:12:00
4,1514103180,572.1,573.85,571.43,573.17,572.87,15.359715099999999,18,2017-12-24 08:13:00
5,1514103240,573.17,573.5,573.0,573.16,573.18,36.57432057,20,2017-12-24 08:14:00
6,1514103300,571.26,571.26,567.99,570.96,570.3,89.75808826,27,2017-12-24 08:15:00
7,1514103360,570.96,571.59,570.94,571.14,571.0,12.73443481,6,2017-12-24 08:16:00
8,1514103420,571.54,571.54,571.0,571.54,571.45,8.73207449,8,2017-12-24 08:17:00
9,1514103480,571.65,572.43,568.02,572.43,571.31,32.4717538,29,2017-12-24 08:18:00
10,1514103540,571.42,571.42,570.97,571.02,571.03,2.18571,3,2017-12-24 08:19:00
11,1514103600,571.02,573.12,571.02,573.12,571.23,9.26958249,5,2017-12-24 08:20:00
12,1514103660,571.31,572.29,571.31,572.29,571.76,1.47174,5,2017-12-24 08:21:00
13,1514103720,572.35,572.35,572.01,572.01,572.34,1.01268904,4,2017-12-24 08:22:00
14,1514103780,572.98,573.14,572.29,573.12,573.1,14.15453268,12,2017-12-24 08:23:00
15,1514103840,573.12,574.0,572.61,574.0,573.22,6.6941386,7,2017-12-24 08:24:00
16,1514103900,574.0,574.87,574.0,574.87,574.11,0.60300638,6,2017-12-24 08:25:00
17,1514103960,574.87,575.89,574.11,575.46,574.93,2.47651414,7,2017-12-24 08:26:00
18,1514104020,575.46,575.88,575.46,575.88,575.87,61.61029815,9,2017-12-24 08:27:00
19,1514104080,575.88,575.88,575.06,575.06,575.22,17.62305403,8,2017-12-24 08:28:00
20,1514104140,575.06,575.88,573.16,573.16,575.03,207.695346,37,2017-12-24 08:29:00
21,1514104200,575.5,575.88,572.31,572.31,573.86,142.00725416,30,2017-12-24 08:30:00
22,1514104260,573.35,573.57,571.12,573.57,571.68,70.5620093,18,2017-12-24 08:31:00
23,1514104320,575.06,575.77,573.02,573.07,573.82,181.92578999999998,19,2017-12-24 08:32:00
24,1514104380,575.72,575.72,573.04,573.19,574.44,150.95271158,18,2017-12-24 08:33:00
25,1514104440,573.21,575.58,571.28,575.58,573.27,152.71723830000005,33,2017-12-24 08:34:00
26,1514104500,575.58,575.73,573.0,574.81,574.36,32.5919483,23,2017-12-24 08:35:00
27,1514104560,574.81,575.88,574.75,574.75,575.41,35.4677056,14,2017-12-24 08:36:00
28,1514104620,574.75,575.88,574.75,575.88,575.87,329.43035844,20,2017-12-24 08:37:00
29,1514104680,575.88,575.88,575.88,575.88,575.88,44.24323572,28,2017-12-24 08:38:00
30,1514104740,575.88,576.0,573.87,575.0,575.72,66.53094906,42,2017-12-24 08:39:00
31,1514104800,575.0,576.0,573.91,576.0,574.97,33.97699052,19,2017-12-24 08:40:00
32,1514104860,576.4,576.4,574.94,575.0,575.35,4.73020166,7,2017-12-24 08:41:00
33,1514104920,576.0,577.1,576.0,577.1,576.75,1.13389303,7,2017-12-24 08:42:00
34,1514104980,577.69,578.0,577.5,577.5,577.92,23.13833087,19,2017-12-24 08:43:00
35,1514105040,577.5,577.59,577.5,577.59,577.59,0.03,1,2017-12-24 08:44:00
36,1514105100,578.0,579.0,577.51,578.0,578.3,18.69338704,22,2017-12-24 08:45:00
37,1514105160,578.0,578.99,577.8,577.8,578.1,2.8559200000000002,13,2017-12-24 08:46:00
38,1514105220,578.0,579.0,577.53,579.0,577.7,30.80193293,10,2017-12-24 08:47:00
39,1514105280,578.99,579.51,577.58,579.51,577.98,63.71665885,16,2017-12-24 08:48:00
40,1514105340,579.51,579.51,579.22,579.38,579.36,0.10852031,3,2017-12-24 08:49:00
41,1514105400,579.38,579.51,579.22,579.51,579.23,1.9818391,7,2017-12-24 08:50:00
42,1514105460,579.51,579.99,579.04,579.04,579.39,36.02617307,23,2017-12-24 08:51:00
43,1514105520,579.04,580.94,579.04,580.94,579.66,1.2388247,6,2017-12-24 08:52:00
44,1514105580,580.94,580.95,579.4,580.95,579.51,4.102,6,2017-12-24 08:53:00
45,1514105640,580.75,581.5,580.75,580.77,581.06,5.50146334,18,2017-12-24 08:54:00
46,1514105700,580.77,581.88,580.77,581.88,581.22,5.68222117,6,2017-12-24 08:55:00
47,1514105760,581.88,581.88,581.01,581.88,581.48,8.01474658,12,2017-12-24 08:56:00
48,1514105820,581.88,581.88,581.48,581.54,581.61,7.863699,11,2017-12-24 08:57:00
49,1514105880,581.84,582.0,581.55,581.55,581.86,76.61392262,25,2017-12-24 08:58:00
50,1514105940,582.1,583.2,581.86,581.87,582.02,9.14152344,17,2017-12-24 08:59:00
51,1514106000,581.87,583.2,581.87,582.01,582.72,1.496,4,2017-12-24 09:00:00
52,1514106060,582.01,584.89,582.01,584.89,584.04,20.0,19,2017-12-24 09:01:00
53,1514106120,583.8,584.79,583.8,584.79,583.92,0.55392054,2,2017-12-24 09:02:00
54,1514106180,583.8,584.81,582.1,584.81,584.21,2.49818,5,2017-12-24 09:03:00
55,1514106240,583.8,583.8,582.44,583.8,582.7,0.92552796,7,2017-12-24 09:04:00
56,1514106300,583.8,584.66,583.8,584.66,584.01,1.51399,6,2017-12-24 09:05:00
57,1514106360,584.66,584.66,582.16,583.26,583.38,14.98735,9,2017-12-24 09:06:00
58,1514106420,582.99,582.99,581.86,582.22,582.12,10.34034034,13,2017-12-24 09:07:00
59,1514106480,582.24,583.5,580.0,581.55,581.06,52.22075894,30,2017-12-24 09:08:00
60,1514106540,581.55,583.44,580.0,580.0,581.25,12.00814082,9,2017-12-24 09:09:00
61,1514106600,579.22,579.42,577.5,577.5,578.56,5.7297,9,2017-12-24 09:10:00
62,1514106660,577.5,578.99,575.81,578.99,577.14,4.26522799,11,2017-12-24 09:11:00
63,1514106720,578.96,578.96,578.96,578.96,578.96,1.02662523,2,2017-12-24 09:12:00
64,1514106780,578.96,578.96,575.81,575.91,576.76,9.26397136,16,2017-12-24 09:13:00
65,1514106840,575.83,576.0,575.02,575.02,575.17,66.93028761,16,2017-12-24 09:14:00
66,1514106900,575.03,575.13,575.0,575.0,575.01,162.91173137,20,2017-12-24 09:15:00
67,1514106960,574.99,574.99,570.0,571.33,573.31,13.44014352,37,2017-12-24 09:16:00
68,1514107020,571.52,574.61,571.18,574.5,573.52,7.06006735,7,2017-12-24 09:17:00
69,1514107080,574.5,574.55,574.5,574.55,574.54,1.32178813,6,2017-12-24 09:18:00
70,1514107140,574.0,575.62,571.54,571.54,572.28,70.03084820000001,30,2017-12-24 09:19:00
71,1514107200,571.54,575.6,571.54,575.55,575.55,2.01449906,3,2017-12-24 09:20:00
72,1514107260,575.55,575.55,573.0,573.63,573.18,2.78174058,5,2017-12-24 09:21:00
73,1514107320,573.63,573.63,573.63,573.63,0.0,0.0,0,2017-12-24 09:22:00
74,1514107380,574.97,574.99,574.97,574.99,574.97,3.0449,5,2017-12-24 09:23:00
75,1514107440,574.99,575.65,574.87,575.65,574.98,50.89288904,21,2017-12-24 09:24:00
76,1514107500,575.72,576.3,575.65,576.3,575.99,8.62,10,2017-12-24 09:25:00
77,1514107560,576.3,578.03,576.3,578.03,577.38,5.0,8,2017-12-24 09:26:00
78,1514107620,578.03,578.96,578.03,578.96,578.42,14.553821,27,2017-12-24 09:27:00
79,1514107680,578.96,578.96,578.73,578.73,578.95,11.61671512,22,2017-12-24 09:28:00
80,1514107740,578.92,579.54,578.73,579.54,578.96,45.619135799999995,22,2017-12-24 09:29:00
81,1514107800,579.46,580.0,579.19,579.19,579.6,2.0319130000000003,6,2017-12-24 09:30:00
82,1514107860,580.0,580.0,579.97,580.0,579.99,11.02,8,2017-12-24 09:31:00
83,1514107920,580.0,583.08,579.96,580.0,581.66,11.11444556,23,2017-12-24 09:32:00
84,1514107980,580.0,582.68,580.0,581.23,582.19,10.7079619,8,2017-12-24 09:33:00
85,1514108040,581.4,583.0,580.01,583.0,580.68,5.69343252,12,2017-12-24 09:34:00
86,1514108100,582.58,583.5,582.58,583.5,583.22,5.4478,13,2017-12-24 09:35:00
87,1514108160,583.22,583.22,582.49,582.49,582.8,100.59181806,6,2017-12-24 09:36:00
88,1514108220,582.45,583.41,582.45,583.41,582.96,2.7765916,7,2017-12-24 09:37:00
89,1514108280,583.0,583.0,581.41,581.65,581.58,51.50466597,21,2017-12-24 09:38:00
90,1514108340,581.65,582.51,579.93,579.93,580.61,57.50222321,37,2017-12-24 09:39:00
91,1514108400,579.86,579.86,578.11,578.11,579.18,22.83309484,25,2017-12-24 09:40:00
92,1514108460,578.53,578.99,573.68,574.78,574.79,60.76588524,36,2017-12-24 09:41:00
93,1514108520,575.37,575.37,572.53,572.53,573.54,185.17908404,25,2017-12-24 09:42:00
94,1514108580,571.96,572.0,571.77,571.77,571.93,32.72251607,23,2017-12-24 09:43:00
95,1514108640,571.77,571.77,569.0,569.0,570.76,28.68934991,35,2017-12-24 09:44:00
96,1514108700,569.0,570.0,564.35,565.73,565.34,93.33633862,29,2017-12-24 09:45:00
97,1514108760,565.73,567.09,564.66,567.09,565.07,79.05604802,20,2017-12-24 09:46:00
98,1514108820,567.09,567.1,564.03,565.74,564.76,345.70425248,35,2017-12-24 09:47:00
99,1514108880,565.74,567.1,565.74,566.87,566.4,78.78198819,19,2017-12-24 09:48:00
100,1514108940,566.87,567.1,565.86,566.21,566.57,5.85122318,17,2017-12-24 09:49:00
101,1514109000,566.21,567.1,566.21,567.1,566.96,12.97124948,24,2017-12-24 09:50:00
102,1514109060,567.1,567.1,566.22,566.22,567.07,7.697537599999999,11,2017-12-24 09:51:00
103,1514109120,566.22,566.98,564.0,564.0,565.0,199.90784468,29,2017-12-24 09:52:00
104,1514109180,566.17,566.17,561.43,561.43,563.71,198.98843822,22,2017-12-24 09:53:00
105,1514109240,561.43,562.0,561.43,561.53,561.55,41.99988222,19,2017-12-24 09:54:00
106,1514109300,561.53,562.0,559.16,559.16,560.75,99.92434688,27,2017-12-24 09:55:00
107,1514109360,560.93,561.51,558.49,558.49,560.77,33.57113673,20,2017-12-24 09:56:00
108,1514109420,558.38,558.49,557.92,557.92,558.35,50.02166461,17,2017-12-24 09:57:00
109,1514109480,557.92,558.73,557.92,558.28,558.12,52.36403659,31,2017-12-24 09:58:00
110,1514109540,558.34,559.0,558.28,559.0,558.91,56.11653385,16,2017-12-24 09:59:00
111,1514109600,558.17,559.0,558.17,559.0,558.86,15.750507699999998,17,2017-12-24 10:00:00
112,1514109660,559.0,567.0,559.0,562.01,559.62,17.84200459,8,2017-12-24 10:01:00
113,1514109720,562.01,562.01,560.68,560.68,561.7,54.57768975,17,2017-12-24 10:02:00
114,1514109780,561.44,562.21,559.35,559.35,560.7,24.88786618,20,2017-12-24 10:03:00
115,1514109840,560.74,560.8,555.12,555.13,556.96,681.50671627,41,2017-12-24 10:04:00
116,1514109900,555.27,560.27,555.27,555.74,555.84,35.77310161,15,2017-12-24 10:05:00
117,1514109960,555.28,558.2,555.28,558.2,555.87,141.71488877,31,2017-12-24 10:06:00
118,1514110020,555.28,557.7,551.01,553.01,553.68,387.46759796,41,2017-12-24 10:07:00
119,1514110080,551.01,551.54,551.01,551.01,551.51,86.70087214,32,2017-12-24 10:08:00
120,1514110140,551.54,555.27,551.01,555.27,551.75,61.95989396,37,2017-12-24 10:09:00
121,1514110200,552.0,552.55,549.0,549.79,550.51,248.5412173,75,2017-12-24 10:10:00
122,1514110260,550.71,552.99,550.71,552.99,551.77,9.46024749,15,2017-12-24 10:11:00
123,1514110320,554.95,555.24,554.25,554.25,554.94,16.54718237,12,2017-12-24 10:12:00
124,1514110380,554.25,555.26,551.6,551.6,553.47,42.98209113,31,2017-12-24 10:13:00
125,1514110440,551.62,553.99,549.6,549.6,550.87,189.08431463,38,2017-12-24 10:14:00
126,1514110500,548.87,549.57,545.0,547.46,546.3,45.99212781,47,2017-12-24 10:15:00
127,1514110560,549.98,549.98,546.01,546.01,547.67,16.27709705,13,2017-12-24 10:16:00
128,1514110620,549.57,549.57,543.78,546.98,545.12,115.36440367,43,2017-12-24 10:17:00
129,1514110680,546.0,549.98,545.0,549.98,545.89,108.63486177,28,2017-12-24 10:18:00
130,1514110740,548.98,548.98,543.95,544.0,545.28,32.2999696,10,2017-12-24 10:19:00
131,1514110800,544.0,545.0,543.43,543.43,544.06,23.22157251,26,2017-12-24 10:20:00
132,1514110860,543.43,543.95,543.42,543.93,543.68,13.85065908,11,2017-12-24 10:21:00
133,1514110920,543.42,543.93,543.42,543.42,543.42,29.93882949,16,2017-12-24 10:22:00
134,1514110980,545.0,545.0,543.42,543.42,544.24,46.03970561,38,2017-12-24 10:23:00
135,1514111040,543.42,544.98,542.57,544.98,543.42,34.20179198,34,2017-12-24 10:24:00
136,1514111100,542.58,544.0,540.57,540.57,541.96,219.68046084,51,2017-12-24 10:25:00
137,1514111160,543.0,543.12,543.0,543.0,543.0,20.07772198,11,2017-12-24 10:26:00
138,1514111220,543.12,544.17,543.0,544.17,543.6,283.73816235,38,2017-12-24 10:27:00
139,1514111280,544.98,548.0,544.07,547.0,544.53,119.27768999,36,2017-12-24 10:28:00
140,1514111340,547.0,550.0,544.0,550.0,547.31,95.506855,36,2017-12-24 10:29:00
141,1514111400,545.0,547.67,544.05,545.05,545.02,18.84529139,12,2017-12-24 10:30:00
142,1514111460,547.5,547.5,547.0,547.0,547.25,26.21657519,20,2017-12-24 10:31:00
143,1514111520,547.0,547.48,544.0,547.45,546.55,85.82811245,44,2017-12-24 10:32:00
144,1514111580,547.45,547.5,544.0,544.0,544.3,138.17224651,25,2017-12-24 10:33:00
145,1514111640,544.0,547.0,543.12,543.12,543.27,89.54726143,13,2017-12-24 10:34:00
146,1514111700,543.12,546.95,543.0,543.0,543.28,45.65386049,9,2017-12-24 10:35:00
147,1514111760,543.0,543.0,542.99,542.99,542.99,153.94221232,23,2017-12-24 10:36:00
148,1514111820,542.99,543.0,542.99,542.99,542.99,422.07098606,41,2017-12-24 10:37:00
149,1514111880,542.99,543.0,542.99,542.99,542.99,161.34229330000005,32,2017-12-24 10:38:00
150,1514111940,542.99,543.0,542.99,543.0,542.99,115.57735876,12,2017-12-24 10:39:00
151,1514112000,542.99,552.52,542.99,550.6,544.32,385.62984922,41,2017-12-24 10:40:00
152,1514112060,550.6,552.97,546.83,546.83,549.09,69.96176222,33,2017-12-24 10:41:00
153,1514112120,550.0,550.0,547.0,550.0,549.01,22.655363,15,2017-12-24 10:42:00
154,1514112180,548.86,550.0,547.56,548.15,548.11,19.98112731,16,2017-12-24 10:43:00
155,1514112240,547.9,549.99,547.57,547.68,547.85,74.21624656,21,2017-12-24 10:44:00
156,1514112300,549.0,549.99,547.58,547.58,548.8,21.12321164,21,2017-12-24 10:45:00
157,1514112360,547.5,549.62,547.13,549.62,547.68,14.92551392,23,2017-12-24 10:46:00
158,1514112420,549.62,549.62,546.77,549.06,547.89,37.57205,28,2017-12-24 10:47:00
159,1514112480,549.0,549.47,546.77,549.47,549.03,33.4542022,18,2017-12-24 10:48:00
160,1514112540,549.5,551.08,549.04,551.08,549.51,333.30036176,40,2017-12-24 10:49:00
161,1514112600,551.09,553.25,547.54,553.25,550.29,32.76714157,50,2017-12-24 10:50:00
162,1514112660,553.25,555.29,553.0,555.27,554.63,200.60567847,34,2017-12-24 10:51:00
163,1514112720,553.01,556.0,553.0,553.4,554.42,17.69128144,21,2017-12-24 10:52:00
164,1514112780,553.4,556.26,552.02,554.0,553.58,44.10673014,16,2017-12-24 10:53:00
165,1514112840,554.0,554.0,553.0,553.0,553.98,1.395,4,2017-12-24 10:54:00
166,1514112900,554.0,554.0,552.02,553.55,552.77,17.72906229,22,2017-12-24 10:55:00
167,1514112960,553.55,553.55,551.46,552.08,551.87,32.88915863,26,2017-12-24 10:56:00
168,1514113020,552.06,556.0,551.0,555.49,553.59,21.16999786,32,2017-12-24 10:57:00
