,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
44,58.43675,GREEN,58.745,57.3354137807,57.3354137807,58.506,1514183160,2017-12-25 06:26:00
45,57.78475,RED,58.506,57.521,57.8860818903,57.503,1514184960,2017-12-25 06:56:00
46,58.17925,GREEN,58.405,57.502,57.8354159452,58.405,1514186760,2017-12-25 07:26:00
47,58.323,GREEN,58.576,57.652,58.0073329726,58.534,1514188560,2017-12-25 07:56:00
48,58.1095,RED,58.558,57.5,58.1651664863,58.19,1514190360,2017-12-25 08:26:00
49,58.75175,GREEN,58.938,58.1373332431,58.1373332431,58.942,1514192160,2017-12-25 08:56:00
50,59.2035,GREEN,59.99,58.4445416216,58.4445416216,59.012,1514193960,2017-12-25 09:26:00
51,59.3375,GREEN,59.943,58.8240208108,58.8240208108,59.2,1514195760,2017-12-25 09:56:00
52,59.581,GREEN,59.858,58.75,59.0807604054,59.858,1514197560,2017-12-25 10:26:00
53,59.1615,RED,59.858,58.202,59.3308802027,59.293,1514199360,2017-12-25 10:56:00
54,59.14375,RED,59.299,58.73,59.2461901013,59.266,1514201160,2017-12-25 11:26:00
55,59.44875,GREEN,59.7,58.595,59.1949700507,59.8,1514202960,2017-12-25 11:56:00
56,59.752,GREEN,60.0,59.012,59.3218600253,59.999,1514204760,2017-12-25 12:26:00
57,61.3295,GREEN,61.777,59.5369300127,59.5369300127,61.772,1514206560,2017-12-25 12:56:00
58,60.5005,GREEN,62.0,60.0,60.4332150063,60.001,1514208360,2017-12-25 13:26:00
59,60.2365,RED,60.678,60.0,60.4668575032,60.134,1514210160,2017-12-25 13:56:00
60,58.34375,RED,60.3516787516,57.24,60.3516787516,57.996,1514211960,2017-12-25 14:26:00
61,57.432,RED,59.3477143758,56.001,59.3477143758,57.365,1514213760,2017-12-25 14:56:00
62,57.6765,RED,58.3898571879,56.83,58.3898571879,57.952,1514215560,2017-12-25 15:26:00
63,57.52625,RED,58.0331785939,56.584,58.0331785939,57.786,1514217360,2017-12-25 15:56:00
64,58.10125,GREEN,58.499,57.361,57.779714297,58.278,1514219160,2017-12-25 16:26:00
65,58.42125,GREEN,59.274,57.9404821485,57.9404821485,58.231,1514220960,2017-12-25 16:56:00
66,58.2255,GREEN,58.828,58.004,58.1808660742,58.035,1514222760,2017-12-25 17:26:00
