,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
0,11348.125,GREEN,12200.0,10500.0,11347.1875,11346.2,1514136360,2017-12-24 17:26:00
1,11455.325,GREEN,11927.4,10631.4,11347.65625,11631.0,1514179560,2017-12-25 05:26:00
2,11719.625,GREEN,12298.0,11351.0,11401.490625,11600.2,1514222760,2017-12-25 17:26:00
3,12381.85,GREEN,12835.7,11355.0,11560.5578125,12590.2,1514265960,2017-12-26 05:26:00
4,13195.1,GREEN,13490.0,11971.2039062,11971.2039062,13425.0,1514309160,2017-12-26 17:26:00
5,13329.45,GREEN,13540.7,12583.1519531,12583.1519531,13400.0,1514352360,2017-12-27 05:26:00
6,12717.425,RED,13596.0,12276.0,12956.3009766,12499.0,1514395560,2017-12-27 17:26:00
7,12420.75,RED,13100.0,12007.0,12836.8629883,12235.7,1514438760,2017-12-28 05:26:00
8,12059.475,RED,12628.8064941,11867.0,12628.8064941,11905.9,1514481960,2017-12-28 17:26:00
9,12349.6,GREEN,12689.6,11721.8,12344.1407471,12498.0,1514525160,2017-12-29 05:26:00
10,12410.175,GREEN,12657.5,12000.1,12346.8703735,12492.0,1514568360,2017-12-29 17:26:00
11,11823.075,RED,12560.0,11445.6,12378.5226868,11669.3,1514611560,2017-12-30 05:26:00
12,10988.775,RED,12100.7988434,10438.2,12100.7988434,10778.0,1514654760,2017-12-30 17:26:00
13,11036.925,RED,11544.7869217,10520.6,11544.7869217,11133.2,1514697960,2017-12-31 05:26:00
14,11578.4,GREEN,12180.0,10673.4,11290.8559608,11729.7,1514784360,2018-01-01 05:26:00
15,11466.075,GREEN,11949.9,11090.0,11434.6279804,11400.0,1514827560,2018-01-01 17:26:00
