,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
0,2272.75,GREEN,2500.0,2121.0,2253.875,2230.0,1514144280,2017-12-24 19:38:00
1,2347.925,GREEN,2442.0,2199.7,2263.3125,2375.0,1514187480,2017-12-25 07:38:00
2,2363.025,GREEN,2474.9,2257.0,2305.61875,2365.2,1514230680,2017-12-25 19:38:00
3,2370.775,GREEN,2404.4,2286.1,2334.321875,2396.3,1514273880,2017-12-26 07:38:00
4,2363.425,GREEN,2399.0,2344.6,2352.5484375,2355.1,1514317080,2017-12-26 19:38:00
5,2382.65,GREEN,2450.0,2325.0,2357.98671875,2377.8,1514360280,2017-12-27 07:38:00
6,2265.4,RED,2380.0,2161.0,2370.31835938,2258.6,1514403480,2017-12-27 19:38:00
7,2152.05,RED,2317.85917969,2060.5,2317.85917969,2123.0,1514446680,2017-12-28 07:38:00
8,2063.2,RED,2234.95458984,2000.0,2234.95458984,2047.0,1514489880,2017-12-28 19:38:00
9,2097.85,RED,2175.0,2030.0,2149.07729492,2086.4,1514533080,2017-12-29 07:38:00
10,2277.975,GREEN,2539.7,2000.0,2123.46364746,2286.0,1514576280,2017-12-29 19:38:00
11,2135.7,RED,2394.8,2017.0,2200.71932373,2065.5,1514619480,2017-12-30 07:38:00
12,1977.675,RED,2184.9,1827.4,2168.20966187,1949.2,1514662680,2017-12-30 19:38:00
13,1947.75,RED,2110.0,1813.0,2072.94233093,1934.1,1514705880,2017-12-31 07:38:00
14,2053.5,GREEN,2209.0,1872.6,2010.34616547,2066.2,1514792280,2018-01-01 07:38:00
15,2009.825,RED,2117.9,1950.0,2031.92308273,1982.7,1514835480,2018-01-01 19:38:00
16,1976.6,RED,2020.87404137,1952.0,2020.87404137,1968.4,1514878680,2018-01-02 07:38:00
17,2124.9,GREEN,2272.6,1967.0,1998.73702068,2130.0,1514921880,2018-01-02 19:38:00
18,2234.15,GREEN,2300.0,2061.81851034,2061.81851034,2265.6,1514965080,2018-01-03 07:38:00
19,2166.125,GREEN,2270.0,2121.3,2147.98425517,2136.2,1515008280,2018-01-03 19:38:00
20,2052.5,RED,2168.0,2000.0,2157.05462759,2021.0,1515051480,2018-01-04 07:38:00
21,2044.525,RED,2104.77731379,1942.4,2104.77731379,2074.9,1515094680,2018-01-04 19:38:00
22,1964.6,RED,2088.0,1920.0,2074.6511569,1925.2,1515137880,2018-01-05 07:38:00
23,1999.875,RED,2095.0,1925.1,2019.62557845,1989.7,1515181080,2018-01-05 19:38:00
24,1993.875,RED,2025.9,1950.0,2009.75028922,1999.8,1515224280,2018-01-06 07:38:00
25,2093.775,GREEN,2187.1,1984.0,2001.81264461,2107.0,1515267480,2018-01-06 19:38:00
26,2154.8,GREEN,2232.1,2047.79382231,2047.79382231,2176.8,1515310680,2018-01-07 07:38:00
27,2134.25,GREEN,2260.3,2060.0,2101.29691115,2109.9,1515353880,2018-01-07 19:38:00
28,2049.45,RED,2117.77345558,2000.0,2117.77345558,2044.0,1515397080,2018-01-08 07:38:00
29,2014.95,RED,2083.61172779,1872.0,2083.61172779,2055.0,1515440280,2018-01-08 19:38:00
30,2000.05,RED,2065.0,1960.0,2049.28086389,1987.6,1515483480,2018-01-09 07:38:00
31,2007.6,RED,2059.4,1944.0,2024.66543195,2013.5,1515526680,2018-01-09 19:38:00
32,2020.05,GREEN,2120.0,1950.0,2016.13271597,2005.1,1515569880,2018-01-10 07:38:00
33,2156.0,GREEN,2250.0,1900.0,2018.09135799,2237.0,1515613080,2018-01-10 19:38:00
