[Trader][2018-01-23 09:36:12,401][INFO] - =========== START =============
[Trader][2018-01-23 09:36:14,480][INFO] - [XETHZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XETHZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-23 09:36:14,482][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-23 08:36:12.428936
[Trader][2018-01-23 09:36:14,833][INFO] - [XXRPZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XXRPZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-23 09:36:14,834][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-23 08:36:12.427375
[Trader][2018-01-23 09:36:15,224][INFO] - [XXBTZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XXBTZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-23 09:36:15,226][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-23 08:36:12.430663
[Trader][2018-01-23 09:36:15,509][INFO] - [XLTCZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XLTCZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-23 09:36:15,511][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-23 08:36:12.427485
[Trader][2018-01-23 09:36:15,808][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-23 09:36:15,809][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-23 09:36:15,810][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-23 09:46:15.810049
[Trader][2018-01-23 09:36:16,416][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-23 09:36:16,417][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-23 09:36:16,417][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-23 09:46:16.417770
[Trader][2018-01-23 09:36:16,570][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
