[market_data.assets][2018-01-21 19:55:13,046][INFO] - Trade Update : trade sign Signal.BUY @1.389980.
[market_data.assets][2018-01-21 19:55:13,079][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.270130.
[market_data.assets][2018-01-21 19:55:13,160][INFO] - Trade Update : trade sign Signal.BUY @1.021310.
[market_data.assets][2018-01-21 19:55:13,211][INFO] - Trade Update : trade sign Signal.SELL @1.255540.
[market_data.assets][2018-01-21 19:55:13,255][INFO] - Trade Update : trade sign Signal.BUY @1.085000.
[market_data.assets][2018-01-21 19:55:13,317][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.011900.
[market_data.assets][2018-01-21 19:55:13,360][INFO] - Trade Update : trade sign Signal.BUY @0.949990.
[market_data.assets][2018-01-21 19:55:13,393][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @0.851500.
[market_data.assets][2018-01-21 19:55:13,425][INFO] - Trade Update : trade sign Signal.BUY @0.733000.
[market_data.assets][2018-01-21 19:55:13,553][INFO] - Trade Update : trade sign Signal.SELL @0.898900.
[market_data.assets][2018-01-21 19:55:13,605][INFO] - Trade Update : trade sign Signal.BUY @1.111000.
[market_data.assets][2018-01-21 19:55:13,665][INFO] - Trade Update : trade sign Signal.SELL @1.258000.
[market_data.assets][2018-01-21 19:55:13,729][INFO] - Trade Update : trade sign Signal.BUY @1.283000.
[market_data.assets][2018-01-21 19:55:13,826][INFO] - Trade Update : trade sign Signal.SELL @1.395770.
[market_data.assets][2018-01-21 19:55:13,867][INFO] - Trade Update : trade sign Signal.BUY @1.321140.
[market_data.assets][2018-01-21 19:55:13,908][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.250040.
[market_data.assets][2018-01-21 19:55:13,947][INFO] - Trade Update : trade sign Signal.BUY @1.232700.
[market_data.assets][2018-01-21 19:55:14,027][INFO] - Trade Update : trade sign Signal.SELL @1.296000.
[market_data.assets][2018-01-21 19:55:14,079][INFO] - Trade Update : trade sign Signal.BUY @1.305000.
[market_data.assets][2018-01-21 19:55:14,146][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.200000.
[market_data.assets][2018-01-21 19:55:14,179][INFO] - Trade Update : trade sign Signal.BUY @1.198000.
[market_data.assets][2018-01-21 19:55:14,242][INFO] - Trade Update : trade sign Signal.SELL @1.240000.
[market_data.assets][2018-01-21 19:55:14,300][INFO] - Trade Update : trade sign Signal.BUY @1.134000.
