[Trader][2018-01-24 09:46:54,370][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 09:56:54.370697
[Trader][2018-01-24 09:46:56,335][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:46:56,336][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:46:56,337][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:46:56,337][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 09:56:56.337467
[Trader][2018-01-24 09:46:56,338][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:46:56,339][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 09:56:56.338980
[Trader][2018-01-24 09:56:54,108][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:46:00
[Trader][2018-01-24 09:56:54,389][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:47:00
[Trader][2018-01-24 09:56:55,803][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:56:55,805][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:56:55,805][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:06:55.805472
[Trader][2018-01-24 09:56:56,359][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:47:00
[Trader][2018-01-24 09:56:56,359][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:46:00
[Trader][2018-01-24 09:56:56,434][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:56:56,435][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:56:56,436][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:06:56.436286
[Trader][2018-01-24 09:56:58,139][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:56:58,140][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:56:58,140][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:56:58,141][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:06:58.141023
[Trader][2018-01-24 09:56:58,141][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:56:58,142][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:06:58.142313
[Trader][2018-01-24 10:06:55,840][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:57:00
[Trader][2018-01-24 10:06:56,471][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:57:00
[Trader][2018-01-24 10:06:58,177][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:57:00
[Trader][2018-01-24 10:06:58,177][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 09:57:00
[Trader][2018-01-24 10:06:58,253][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:06:58,255][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:06:58,256][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:16:58.256235
[Trader][2018-01-24 10:06:58,330][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:06:58,331][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:06:58,332][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:16:58.332239
[Trader][2018-01-24 10:06:59,567][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:06:59,568][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:06:59,569][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:16:59.569226
[Trader][2018-01-24 10:07:00,519][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:07:00,520][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:07:00,521][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:17:00.520861
[Trader][2018-01-24 10:16:58,276][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:07:00
[Trader][2018-01-24 10:16:58,354][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:07:00
